,predicted_score,original_score,sentence1,sentence2
0,4.986553192138672,5.0,A man with a hard hat is dancing.,A man wearing a hard hat is dancing.
1,4.944525510072708,4.75,A young child is riding a horse.,A child is riding a horse.
2,4.978416711091995,5.0,A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.
3,4.01941180229187,2.4,A woman is playing the guitar.,A man is playing guitar.
4,4.512960612773895,2.75,A woman is playing the flute.,A man is playing a flute.
5,4.416579455137253,2.615,A woman is cutting an onion.,A man is cutting onions.
6,4.97770756483078,5.0,A man is erasing a chalk board.,The man is erasing the chalk board.
7,4.158748090267181,2.333,A woman is carrying a boy.,A woman is carrying her baby.
8,4.776788651943207,3.75,Three men are playing guitars.,Three men are on stage playing guitars.
9,4.89056795835495,5.0,A woman peels a potato.,A woman is peeling a potato.
10,4.654976278543472,3.2,People are playing cricket.,Men are playing cricket.
11,3.5103756934404373,1.583,A man is playing a guitar.,A man is playing a flute.
12,4.962117969989777,5.0,The cougar is chasing the bear.,A cougar is chasing a bear.
13,4.899432361125946,5.0,The man cut down a tree with an axe.,A man chops down a tree with an axe.
14,4.950278103351593,4.909,The man is playing the guitar.,A man is playing a guitar.
15,2.662886194884777,0.8,A man is finding something.,A woman is slicing something.
16,4.551464021205902,2.4,The girl sang into a microphone.,The lady sang into the microphone.
17,4.919834733009338,5.0,A man is climbing a rope.,A man climbs a rope.
18,4.735224395990372,4.0,Kittens are eating food.,Kittens are eating from dishes.
19,2.921021319925785,0.636,A man is speaking.,A man is spitting.
20,4.1368162631988525,3.0,A woman is cooking eggs.,A woman is cooking something.
21,3.4984779357910156,1.714,A man is playing a guitar.,A man is playing a trumpet.
22,4.460597932338715,3.2,An animal is chewing on something.,An animal is chewing on a key chain.
23,3.431435525417328,2.167,A man is playing a flute.,A man is playing guitar.
24,3.150649145245552,1.0,A man is playing soccer.,A man is playing flute.
25,3.6514440178871155,1.917,A girl is riding a horse.,A girl is riding a bicycle.
26,4.395520985126495,4.25,A man is lifting weights in a garage.,A man is lifting weights.
27,4.3509674072265625,3.0,An animal is biting a persons finger.,A slow loris is biting a persons finger.
28,3.0884475260972977,1.0,A woman is reading.,A woman is kneading dough.
29,2.488330379128456,0.6,A man is crying.,A woman is dancing.
30,4.414132386445999,2.6,The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.
31,4.723387807607651,5.0,A band is performing on a stage.,A band is playing onstage.
32,4.732174128293991,4.6,Elephants are walking down a trail.,A herd of elephants are walking along a trail.
33,4.94455486536026,5.0,A man is playing a guitar.,A man plays the guitar.
34,4.534903913736343,4.8,A man sitting on the floor plays a guitar.,A man sitting on the floor in a room is strumming a guitar.
35,4.694542437791824,3.8,A puppy plays with a plastic container.,The dog is playing with a plastic container.
36,4.967920333147049,5.0,A man plays the violin.,A man is playing violin.
