,pairwise_pearson,predicted_score,sentence1,sentence2
0,0.9945581682750663,4.986395239830017,A man with a hard hat is dancing.,A man wearing a hard hat is dancing.
1,0.9759385506843246,4.939838945865631,A young child is riding a horse.,A child is riding a horse.
2,0.9913718028842667,4.978433549404144,A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.
3,0.6266544525261515,4.065962731838226,A woman is playing the guitar.,A man is playing guitar.
4,0.7933290641109817,4.482675194740295,A woman is playing the flute.,A man is playing a flute.
5,0.7712692213632196,4.427650719881058,A woman is cutting an onion.,A man is cutting onions.
6,0.9908638661700577,4.977160394191742,A man is erasing a chalk board.,The man is erasing the chalk board.
7,0.6572057535097446,4.143838286399841,A woman is carrying a boy.,A woman is carrying her baby.
8,0.9066451636755741,4.7665780782699585,Three men are playing guitars.,Three men are on stage playing guitars.
9,0.9569245258474735,4.8923346400260925,A woman peels a potato.,A woman is peeling a potato.
10,0.8751327855699321,4.687786549329758,People are playing cricket.,Men are playing cricket.
11,0.41955059834761577,3.548891767859459,A man is playing a guitar.,A man is playing a flute.
12,0.9830301799326178,4.957554489374161,The cougar is chasing the bear.,A cougar is chasing a bear.
13,0.951167166551745,4.877895414829254,The man cut down a tree with an axe.,A man chops down a tree with an axe.
14,0.9810380136067932,4.952593743801117,The man is playing the guitar.,A man is playing a guitar.
15,0.03098794721776916,2.5773544935509562,A man is finding something.,A woman is slicing something.
16,0.8124422796549104,4.531039148569107,The girl sang into a microphone.,The lady sang into the microphone.
17,0.9678240912019191,4.9195292592048645,A man is climbing a rope.,A man climbs a rope.
18,0.8891851942304287,4.7228337824344635,Kittens are eating food.,Kittens are eating from dishes.
19,0.20797997619619862,3.0204740911722183,A man is speaking.,A man is spitting.
20,0.6730026051291818,4.182697981595993,A woman is cooking eggs.,A woman is cooking something.
21,0.39986116746709244,3.499634712934494,A man is playing a guitar.,A man is playing a trumpet.
22,0.7838896913465542,4.459716975688934,An animal is chewing on something.,An animal is chewing on a key chain.
23,0.38913198825211026,3.472878187894821,A man is playing a flute.,A man is playing guitar.
24,0.2890571763377294,3.222831040620804,A man is playing soccer.,A man is playing flute.
25,0.47604469973293106,3.6901018768548965,A girl is riding a horse.,A girl is riding a bicycle.
26,0.757298730480542,4.3932124972343445,A man is lifting weights in a garage.,A man is lifting weights.
27,0.6773695328438721,4.193429946899414,An animal is biting a persons finger.,A slow loris is biting a persons finger.
28,0.2690006986834327,3.172607421875,A woman is reading.,A woman is kneading dough.
29,-0.037341837704675515,2.4066544137895107,A man is crying.,A woman is dancing.
30,0.7624937628194093,4.406236708164215,The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.
31,0.8757579885529754,4.689387083053589,A band is performing on a stage.,A band is playing onstage.
32,0.9133436896737058,4.78337824344635,Elephants are walking down a trail.,A herd of elephants are walking along a trail.
33,0.9763255230404282,4.940790683031082,A man is playing a guitar.,A man plays the guitar.
34,0.8160427436574406,4.54012006521225,A man sitting on the floor plays a guitar.,A man sitting on the floor in a room is strumming a guitar.
35,0.8843405523663518,4.710868000984192,A puppy plays with a plastic container.,The dog is playing with a plastic container.
36,0.9866813291860045,4.966644197702408,A man plays the violin.,A man is playing violin.
37,0.9814744837602929,4.953645020723343,A man plays the piano.,A man is playing a piano.
38,0.8850289018583712,4.712430238723755,A man is eating food.,A man is eating something.
39,0.34593755639371804,3.3646833151578903,A man is playing a basketball.,A man is playing a piano.
40,0.8220811088816057,4.555198401212692,A toddler walks down a hallway.,A little girl is walking down a hallway.
41,0.7641975000575953,4.410504251718521,A plane is landing.,A animated airplane is landing.
42,0.3383034996159989,3.345983698964119,A panda is climbing.,A man is climbing a rope.
43,0.8146020317602111,4.535589814186096,Kids are dancing on stage.,Some people are dancing on stage.
44,0.4216257563643017,3.554067760705948,A man plays a guitar.,A man plays the piano.
45,0.18129050705286534,2.9534393548965454,A woman is slicing a meat.,A woman is singing on stage.
